ANDHRA PRADESH,"","","","",""
5 . VATTIPALLY SRINIVAS GOUD,M 40,GEN TRS,86401,25,86426
4 . A.NAGESWARA RAO,M 54,GEN PPOI,15736,0,15736
2 . PUDARI NARSIMHA,M 34,SC BSP,14552,0,14552
7 . GYARA PRATHAP,M 40,SC IND,9528,0,9528
6 . GUMMI BAKKA REDDY,M 60,GEN IND,9441,0,9441
8 . NARASIMHA REDDY PADURI,M 39,GEN IND,9312,0,9312
"",TOTAL:,"",1046908,958,1047866
Constituency  : 42 . MIRYALGUDA,"","","","",""
1 . JAIPAL REDDY SUDINI,M 62,GEN INC,570972,1197,572169
2 . VANGALA SWAMY GOUD,M 52,GEN TDP,354914,348,355262
4 . MARRY NEHEMIAH,M 50,GEN IND,9566,0,9566
6 . SARASANI DAMODAR REDDY,M 40,GEN IND,9456,0,9456
5 . YANALA NARSI REDDY,M 36,GEN IND,8166,0,8166
3 . VARIKUPPALA VENKANNA,M 33,GEN MCPI(S),7978,2,7980
"",TOTAL:,"",961052,1547,962599


ARUNACHAL PRADESH,"","","","",""
Constituency  : 1 . ARUNACHAL WEST,"","","","",""
2 . KHIREN RIJIJU,M 32,ST BJP,123388,563,123951
1 . KAMEN RINGU,M 51,ST AC,76182,345,76527
5 . TADAR TANIANG,M 51,ST AITC,6231,10,6241
3 . KARDU TAIPODIA,M 54,ST SP,4895,6,4901
4 . KIDO INGO,M 33,ST SAP,4888,8,4896
6 . JODIK TALI,M 26,ST IND,3130,3,3133
7 . TUJO BAGRA,M 35,ST IND,1904,1,1905
"",TOTAL:,"",220618,936,221554
Constituency  : 2 . ARUNACHAL EAST,"","","","",""
1 . TAPIR GAO,M 42,ST BJP,82776,559,83335
2 . WANGCHA RAJKUMAR,M 37,ST INC,38258,83,38341
6 . TONY PERTIN,M 36,ST IND,16970,39,17009
3 . MATWANG CHIMYANG,M 39,ST IND,16466,10,16476
4 . OGONG TAMUK,M 47,ST IND,5223,28,5251
5 . ONOM TAKNYO,M 39,ST IND,2958,4,2962
"",TOTAL:,"",162651,723,163374
ASSAM,"","","","",""
Constituency  : 1 . KARIMGANJ (SC),"","","","",""
3 . LALIT MOHAN SUKLABAIDYA,M 62,SC INC,320845,214,321059
2 . PARIMAL SUKLA BAIDYA,M 45,SC BJP,228810,301,229111
1 . NEPAL CHANDRA DAS,M 64,SC AGP,106474,72,106546
4 . BABUL RAM DAS,M 32,SC IND,3925,1,3926
8 . SUSHIL KUMAR DAS,M 32,SC IND,3641,0,3641
6 . RADHA KANTA TANTY,M 62,SC IND,2858,4,2862
7 . LUKENDRA ROY,M 27,SC IND,2385,1,2386
5 . BABUL ROY,M 29,SC IND,1959,1,1960
"",TOTAL:,"",670897,594,671491
Constituency  : 2 . SILCHAR,"","","","",""
3 . SONTOSH MOHAN DEV,M 70,GEN INC,246085,130,246215
1 . KABINDRA PURKYASTHA,M 73,GEN BJP,224709,186,224895
5 . ANWAR HUSSAIN LASKAR,M 42,GEN SP,99805,15,99820
2 . NOORUL HUDA,M 74,GEN CPM,20003,17,20020
11 . SAMARENDRA GHOSH,M 61,GEN IND,4990,0,4990
4 . ALOK SEN,M 33,GEN SAP,4517,0,4517
9 . BENU BHUSON NATH,M 51,GEN IND,1720,0,1720
